আমি,0
ভালো,1
আছি,2
আজ,3
আমার,4
মন,5
খারাপ,6
অসুস্থ,7
অনেক,8
সুন্দর,9
চিন্তার,10
বিষয়,11
দৌড়াতে,12
পারি।,13
দেউলিয়া,14
হয়ে,15
গেছি।,16
নিশ্চই!,17
নীচে,18
দেখুন।,19
জেগে,20
আছি।,21
কী,22
বললে?,23
আমাকে,24
ঢুকতে,25
দিন।,26
কথা,27
বলব।,28
আমাদের,29
স্কী,30
করতে,31
ওনাকে,32
দখতে,33
পেলাম।,34
যেতে,35
দাও!,36
ক্লান্ত।,37
জিজ্ঞাসা,38
করা,39
যাক।,40
এটা,41
চাই।,42
তাকে,43
আমাদের।,44
টমকে,45
মারলাম।,46
বললেন?,47
ছাড়ুন।,48
টমের,49
ছাড়ো।,50
উনি,51
হাঁটেন।,52
সে,53
হাঁটে।,54
এখানে,55
অপেক্ষা,56
করুন।,57
আমরা,58
দেখেছি।,59
দেখে!,60
আমরাই,61
জিতব।,62
তাহলে,63
আবার,64
কী?,65
জিতবই।,66
সাবধানে!,67
টম,68
লাজুক।,69
ভুলে,70
গেলাম।,71
চেষ্টা,72
করলো।,73
দাঁড়াও।,74
উপর,75
নজর,76
রাখুন।,77
রাখো।,78
তিনি,79
করো।,80
কে?,81
করব।,82
বিশ্বাস,83
সই,84
করে।,85
কার,86
এসে,87
যায়?,88
তাহলে?,89
দাঁড়ান।,90
বাঁদিকে,91
ঘুরুন।,92
আস্তে,93
চালান।,94
ও,95
কি,96
খবর?,97
আর,98
অসফল,99
হলাম।,100
আপনিই,101
দারুন!,102
সাবধানে।,103
একদম!,104
ভগবান,105
আছে।,106
বলবেন,107
না!,108
এসো,109
না।,110
যাও।,111
অনুসরণ,112
ওকে,113
কাশলেন।,114
বলিস,115
বোল,116
ছাড়ো!,117
নিশ্চয়ই!,118
পিছু,119
নিন।,120
আসবেন,121
পেছন,122
যান।,123
ভর্তি,124
করে,125
তুমি,126
চালাও।,127
শুভ,128
রাত্রি।,129
আসবেন।,130
আসিস,131
ওটা,132
দেখেছিলাম।,133
দেরি,134
গেছিল।,135
শুনেছি।,136
ওদের,137
দেখতে,138
বেশ।,139
একটা,140
এখনই,141
খেলাম।,142
পরেছিলাম।,143
এই,144
সবে,145
খাই।,146
পছন্দ,147
করি।,148
মাংস,149
বসে,150
লাগে।,151
সাঁতার,152
কাটতে,153
চিৎকার,154
করলাম।,155
জিতে,156
সেটা,157
তৈরি।,158
তোমাকে,159
ভালবাসি।,160
বরফ,161
প্রতিশ্রুতি,162
দিলাম।,163
হারিয়ে,164
গেছিলাম।,165
বাইরে,166
ছিলাম।,167
কাশলো।,168
পড়তে,169
বাড়ি,170
পালিয়ে,171
তাদের,172
ওনাদের,173
চেঁচালাম।,174
চা,175
তাঁদের,176
মাথা,177
নাড়লো।,178
হাঁসলো।,179
সরে,180
ওখানেই,181
থামো।,182
হাঁসলেন।,183
কোনো,184
অসুবিধা,185
নেই!,186
চুপ,187
কর।,188
দেখলো।,189
থামুন।,190
হাঁটা,191
ওইদিকে,192
গল্প,193
বলা,194
শহর,195
ছাড়!,196
করো!,197
ভেতরে,198
একবার।,199
এর,200
পক্ষে।,201
ভেতরে।,202
দেখো।,203
তাই,204
বুঝি?,205
থাকুন।,206
সময়,207
শেষ,208
গেছে।,209
শেষ।,210
থাকো।,211
আছে?,212
একদম,213
পাগল।,214
সাহায্য,215
কর!,216
আমার।,217
নেই।,218
গেছে?,219
হাসলো।,220
চোখ,221
মারলো।,222
ডানদিকে,223
কারা?,224
বধির।,225
ঘোরো।,226
অসুস্থ।,227
আহত।,228
আপনি,229
ডেকেছিলেন?,230
গান,231
করবো।,232
খুব,233
থাম!,234
বাঁচাও!,235
একটু,236
হাসুন।,237
বুঝলাম।,238
থামো!,239
হাসো।,240
হেরে,241
পালান!,242
শুনুন।,243
বুঝে,244
গেছি!,245
বুঝেছেন?,246
নাক?,247
আগুন!,248
আক্রমণ!,249
ঠিক,250
জানা,251
বাঁচান!,252
বুঝেছো?,253
বুঝেছিস?,254
সত্যি?,255
থামুন!,256
কোন,257
মতেই,258
আমিই,259
কেন?,260
ধন্যবাদ।,261
পালাও!,262
নমস্কার!,263
শোন।,264
যা।,265
জানি।,266
চলে,267
ডেক।,268
ডাকবেন।,269
দৌড়ায়।,270
এসেছিলো।,271
ডাকুন।,272
এটাা,273
বিপজ্জনক,274
আমাক,275
বেরও।,276
এলাম!,277
দৌড়ান।,278
বিদায়।,279
এ,280
এসেছিলেন।,281
আসুন।,282
বেরো।,283
যাও!,284
গরম,285
লাগছে।,286
পড়েছে,287
আজ।,288
উফ!,289
বড্ড,290
ঠান্ডা,291
রে,292
বাবা!,293
ঠান্ডায়,294
জমে,295
গেলাম!,296
হি,297
হিহিহি,298
হা,299
হাহাহা,300
তোরে,301
মারুম,302
আছে,303
আছেন,304
সবাই,305
আনন্দ,306
হচ্ছে,307
খুশি,308
লাগছে,309
ব্যাবহার,310
করেছে,311
শরীর,312
তার,313
